candle_time,open,high,low,close,volume
2021-10-15 08:00:00,57347.94,62933.0,56850.0,61672.42,82512.908022
2021-10-16 08:00:00,61672.42,62378.42,60150.0,60875.57,35467.88096
2021-10-17 08:00:00,60875.57,61718.39,58963.0,61528.33,39099.24124
2021-10-18 08:00:00,61528.32,62695.78,59844.45,62009.84,51798.44844
2021-10-19 08:00:00,62005.6,64486.0,61322.22,64280.59,53628.107744
2021-10-20 08:00:00,64280.59,67000.0,63481.4,66001.41,51428.934856
2021-10-21 08:00:00,66001.4,66639.74,62000.0,62193.15,68538.64537
2021-10-22 08:00:00,62193.15,63732.39,60000.0,60688.22,52119.35886
2021-10-23 08:00:00,60688.23,61747.64,59562.15,61286.75,27626.93678
2021-10-24 08:00:00,61286.75,61500.0,59510.63,60852.22,31226.57676
2021-10-25 08:00:00,60852.22,63710.63,60650.0,63078.78,36853.83806
2021-10-26 08:00:00,63078.78,63293.48,59817.55,60328.81,40217.50083
2021-10-27 08:00:00,60328.81,61496.0,58000.0,58413.44,62124.49016
2021-10-28 08:00:00,58413.44,62499.0,57820.0,60575.89,61056.35301
2021-10-29 08:00:00,60575.9,62980.0,60174.81,62253.71,43973.90414
2021-10-30 08:00:00,62253.7,62359.25,60673.0,61859.19,31478.12566
2021-10-31 08:00:00,61859.19,62405.3,59945.36,61299.8,39267.63794
2021-11-01 08:00:00,61299.81,62437.74,59405.0,60911.11,44687.66672
2021-11-02 08:00:00,60911.12,64270.0,60624.68,63219.99,46368.2841
2021-11-03 08:00:00,63220.57,63500.0,60382.76,62896.48,43336.09049
2021-11-04 08:00:00,62896.49,63086.31,60677.01,61395.01,35930.93314
2021-11-05 08:00:00,61395.01,62595.72,60721.0,60937.12,31604.48749
2021-11-06 08:00:00,60940.18,61560.49,60050.0,61470.61,25590.57408
2021-11-07 08:00:00,61470.62,63286.35,61322.78,63273.59,25515.6883
2021-11-08 08:00:00,63273.58,67789.0,63273.58,67525.83,54442.094554
2021-11-09 08:00:00,67525.82,68524.25,66222.4,66947.66,44661.378068
2021-11-10 08:00:00,66947.67,69000.0,62822.9,64882.43,65171.504046
2021-11-11 08:00:00,64882.42,65600.07,64100.0,64774.26,37237.98058
2021-11-12 08:00:00,64774.25,65450.7,62278.0,64122.23,44490.10816
2021-11-13 08:00:00,64122.22,65000.0,63360.22,64380.0,22504.97383
2021-11-14 08:00:00,64380.01,65550.51,63576.27,65519.1,25705.07347
2021-11-15 08:00:00,65519.11,66401.82,63400.0,63606.74,37829.37124
2021-11-16 08:00:00,63606.73,63617.31,58574.07,60058.87,77455.15609
2021-11-17 08:00:00,60058.87,60840.23,58373.0,60344.87,46289.38491
2021-11-18 08:00:00,60344.86,60976.0,56474.26,56891.62,62146.99931
2021-11-19 08:00:00,56891.62,58320.0,55600.0,58052.24,50715.88726
2021-11-20 08:00:00,58057.1,59845.0,57353.0,59707.51,33811.5901
2021-11-21 08:00:00,59707.52,60029.76,58486.65,58622.02,31902.22785
2021-11-22 08:00:00,58617.7,59444.0,55610.0,56247.18,51724.32047
2021-11-23 08:00:00,56243.83,58009.99,55317.0,57541.27,49917.85017
2021-11-24 08:00:00,57541.26,57735.0,55837.0,57138.29,39612.04964
2021-11-25 08:00:00,57138.29,59398.9,57000.0,58960.36,42153.51522
2021-11-26 08:00:00,58960.37,59150.0,53500.0,53726.53,65927.87066
2021-11-27 08:00:00,53723.72,55280.0,53610.0,54721.03,29716.99957
2021-11-28 08:00:00,54716.47,57445.05,53256.64,57274.88,36163.7137
2021-11-29 08:00:00,57274.89,58865.97,56666.67,57776.25,40125.28009
2021-11-30 08:00:00,57776.25,59176.99,55875.55,56950.56,49161.05194
2021-12-01 08:00:00,56950.56,59053.55,56458.01,57184.07,44956.63656
2021-12-02 08:00:00,57184.07,57375.47,55777.77,56480.34,37574.05976
2021-12-03 08:00:00,56484.26,57600.0,51680.0,53601.05,58927.69027
2021-12-04 08:00:00,53601.05,53859.1,42000.3,49152.47,114203.373748
2021-12-05 08:00:00,49152.46,49699.05,47727.21,49396.33,45580.82012
2021-12-06 08:00:00,49396.32,50891.11,47100.0,50441.92,58571.21575
2021-12-07 08:00:00,50441.91,51936.33,50039.74,50588.95,38253.46877
2021-12-08 08:00:00,50588.95,51200.0,48600.0,50471.19,38425.92466
2021-12-09 08:00:00,50471.19,50797.76,47320.0,47545.59,37692.68665
2021-12-10 08:00:00,47535.9,50125.0,46852.0,47140.54,44233.57391
2021-12-11 08:00:00,47140.54,49485.71,46751.0,49389.99,28889.19358
2021-12-12 08:00:00,49389.99,50777.0,48638.0,50053.9,26017.93421
2021-12-13 08:00:00,50053.9,50189.97,45672.75,46702.75,50869.52093
2021-12-14 08:00:00,46702.76,48700.41,46290.0,48343.28,39955.98445
2021-12-15 08:00:00,48336.95,49500.0,46547.0,48864.98,51629.181
2021-12-16 08:00:00,48864.98,49436.43,47511.0,47632.38,31949.86739
2021-12-17 08:00:00,47632.38,47995.96,45456.0,46131.2,43104.4887
2021-12-18 08:00:00,46133.83,47392.37,45500.0,46834.48,25020.05271
2021-12-19 08:00:00,46834.47,48300.01,46406.91,46681.23,29305.70665
2021-12-20 08:00:00,46681.24,47537.57,45558.85,46914.16,35848.50609
2021-12-21 08:00:00,46914.17,49328.96,46630.0,48889.88,37713.92924
2021-12-22 08:00:00,48887.59,49576.13,48421.87,48588.16,27004.2022
2021-12-23 08:00:00,48588.17,51375.0,47920.42,50838.81,35192.54046
2021-12-24 08:00:00,50838.82,51810.0,50384.43,50820.0,31684.84269
2021-12-25 08:00:00,50819.99,51156.23,50142.32,50399.66,19135.51613
2021-12-26 08:00:00,50399.67,51280.0,49412.0,50775.49,22569.88914
2021-12-27 08:00:00,50775.48,52088.0,50449.0,50701.44,28783.57561
2021-12-28 08:00:00,50701.44,50704.05,47313.01,47543.74,45853.33924
2021-12-29 08:00:00,47543.74,48139.08,46096.99,46464.66,39498.87
2021-12-30 08:00:00,46464.66,47900.0,45900.0,47120.87,30352.29569
2021-12-31 08:00:00,47120.88,48548.26,45678.0,46216.93,34937.99796
2022-01-01 08:00:00,46216.93,47954.63,46208.37,47722.65,19604.46325
2022-01-02 08:00:00,47722.66,47990.0,46654.0,47286.18,18340.4604
2022-01-03 08:00:00,47286.18,47570.0,45696.0,46446.1,27662.0771
2022-01-04 08:00:00,46446.1,47557.54,45500.0,45832.01,35491.4136
2022-01-05 08:00:00,45832.01,47070.0,42500.0,43451.13,51784.11857
2022-01-06 08:00:00,43451.14,43816.0,42430.58,43082.31,38880.37305
2022-01-07 08:00:00,43082.3,43145.83,40610.0,41566.48,54836.50818
